location_id,location_name,latitude,longitude,date,no2_valid_pixels,no2_mean,no2_std,no2_min,no2_max,no2_median,co_valid_pixels,co_mean,co_std,co_min,co_max,co_median,so2_valid_pixels,so2_mean,so2_std,so2_min,so2_max,so2_median,aer_ai_340_380_valid_pixels,aer_ai_340_380_mean,aer_ai_340_380_std,aer_ai_340_380_min,aer_ai_340_380_max,aer_ai_340_380_median,s2_valid_pixels,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_median,ndbi_mean,ndbi_std,ndbi_min,ndbi_max,ndbi_median,ndwi_mean,ndwi_std,ndwi_min,ndwi_max,ndwi_median
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-01-29,0,,,,,,4,0.053624413907527924,0.0,0.053624413907527924,0.053624413907527924,0.053624413907527924,0,,,,,,156,0.07702160626649857,0.294618159532547,-0.537519633769989,0.8485254645347595,0.09967857599258423,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-01-30,0,,,,,,7,0.0489983856678009,0.0010004648938775063,0.04783828556537628,0.05127595737576485,0.048642903566360474,0,,,,,,156,0.08230512589216232,0.21289877593517303,-0.4665941894054413,0.5624293684959412,0.09270021319389343,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-01-31,0,,,,,,36,0.04953443259000778,0.0035017607733607292,0.04406958445906639,0.05739651620388031,0.04909883812069893,0,,,,,,156,-0.7457188963890076,0.3048688769340515,-1.4609334468841553,0.07693759351968765,-0.7687300443649292,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-01,0,,,,,,15,0.04004141315817833,0.0012003376614302397,0.03899095207452774,0.043058130890131,0.03937246650457382,0,,,,,,156,-0.4822455048561096,0.4129524230957031,-1.8135724067687988,0.3328774869441986,-0.4192366898059845,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-02,5,7.34122222638689e-05,2.2915928639122285e-05,4.616819933289662e-05,0.00010162730177398771,8.654870907776058e-05,154,0.041603490710258484,0.0018426049500703812,0.03797373175621033,0.04676106944680214,0.041938602924346924,16,9.240688086720183e-05,0.0002385266707278788,-0.0003941501199733466,0.0005691606784239411,9.641600627219304e-05,149,0.1147255077958107,0.6314440965652466,-0.9045701026916504,1.2370725870132446,-0.0016863481141626835,46161,-0.0008971737115643919,0.014749092981219292,-0.10638279467821121,0.0981188639998436,-0.0015174185391515493,-0.020140929147601128,0.030484359711408615,-0.17855322360992432,0.11877626925706863,-0.014192557893693447,-0.0009675540495663881,0.013059942983090878,-0.04368465766310692,0.07175283879041672,-0.002644489286467433
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-03,0,,,,,,19,0.04232314974069595,0.002123286249116063,0.0403212234377861,0.04617217183113098,0.04153487831354141,0,,,,,,156,0.6742680072784424,0.499578595161438,-0.5764107704162598,1.5260672569274902,0.7641893625259399,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-04,132,4.88685691379942e-05,2.180392220907379e-05,1.714658174023498e-05,0.00014487587031908333,4.3155509047210217e-05,150,0.044876087456941605,0.0027397244703024626,0.04033483937382698,0.05276228114962578,0.044345736503601074,148,4.657184945244808e-06,0.0001629218750167638,-0.00044788361992686987,0.00042757976916618645,9.745941497385502e-06,156,-0.5063247680664062,0.31335052847862244,-1.0854169130325317,0.8423219919204712,-0.5450394153594971,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-05,77,5.5926833738340065e-05,1.3455340194923338e-05,3.492385076242499e-05,0.00010407293302705511,5.2946350479032844e-05,156,0.04314262419939041,0.0026387933176010847,0.037235651165246964,0.050822317600250244,0.043426912277936935,127,-3.998236479674233e-06,0.00013711291830986738,-0.0004884815425612032,0.0004154573834966868,-4.951013579557184e-06,156,-1.0204343795776367,0.41099339723587036,-1.9056363105773926,0.3574209213256836,-1.050187110900879,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-06,0,,,,,,73,0.041634634137153625,0.0036210829857736826,0.034610070288181305,0.04664246737957001,0.042670466005802155,0,,,,,,156,-0.021581143140792847,0.37603116035461426,-1.3837084770202637,0.901320219039917,0.005270098336040974,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-07,0,,,,,,6,0.04357452690601349,0.0002873223274946213,0.04328720644116402,0.04386185109615326,0.04357452690601349,0,,,,,,156,0.367168128490448,0.1566687673330307,-0.408730685710907,0.6379426121711731,0.37289196252822876,46161,-0.009863407351076603,0.011543279513716698,-0.07705235481262207,0.03862660378217697,-0.008712486363947392,-0.19507499039173126,0.04637774080038071,-0.39953863620758057,-0.08415942639112473,-0.1856086105108261,0.010412371717393398,0.012462683953344822,-0.023123454302549362,0.06302636861801147,0.00821919646114111
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-08,0,,,,,,0,,,,,,0,,,,,,156,0.656498372554779,0.10325080901384354,0.4981864094734192,1.095318078994751,0.6205487847328186,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-09,0,,,,,,2,0.061979539692401886,0.0,0.061979539692401886,0.061979539692401886,0.061979539692401886,0,,,,,,156,0.47341445088386536,0.16188332438468933,-0.08109957724809647,0.8179824352264404,0.4999729096889496,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-10,122,2.8238802769919857e-05,7.82561801315751e-06,1.1369757885404397e-05,5.4716972954338416e-05,2.8725728043355048e-05,124,0.06834273040294647,0.0035132577177137136,0.06023920327425003,0.07623811066150665,0.06839600950479507,146,3.89850974897854e-05,0.00023557448002975434,-0.0007672070059925318,0.0006568045355379581,2.7261241484666243e-05,156,-0.7173789739608765,0.2404642105102539,-1.4762922525405884,-0.06753401458263397,-0.7455885410308838,0,,,,,,,,,,,,,,,
4946811,556 Nguyễn Văn Cừ,21.0491,105.8831,2024-02-11,155,3.0570608942070976e-05,9.51348920352757e-06,9.279621735913679e-06,6.194940215209499e-05,3.054761327803135e-05,90,0.06394712626934052,0.003680008463561535,0.05763959884643555,0.07369311898946762,0.06291201710700989,156,0.000122370824101381,0.0003007140476256609,-0.0006331877666525543,0.001034434768371284,0.00010677732643671334,156,-0.8424547910690308,0.08695638924837112,-1.2777353525161743,-0.6218079328536987,-0.845975935459137,0,,,,,,,,,,,,,,,
