location_id,location_name,latitude,longitude,date,no2_valid_pixels,no2_mean,no2_std,no2_min,no2_max,no2_median,co_valid_pixels,co_mean,co_std,co_min,co_max,co_median,so2_valid_pixels,so2_mean,so2_std,so2_min,so2_max,so2_median,aer_ai_340_380_valid_pixels,aer_ai_340_380_mean,aer_ai_340_380_std,aer_ai_340_380_min,aer_ai_340_380_max,aer_ai_340_380_median,s2_valid_pixels,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_median,ndbi_mean,ndbi_std,ndbi_min,ndbi_max,ndbi_median,ndwi_mean,ndwi_std,ndwi_min,ndwi_max,ndwi_median
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-01-29,0,,,,,,4,0.053624413907527924,0.0,0.053624413907527924,0.053624413907527924,0.053624413907527924,0,,,,,,156,0.0777384340763092,0.30180299282073975,-0.7647085189819336,0.8485254645347595,0.11058929562568665,0,,,,,,,,,,,,,,,
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-01-30,0,,,,,,7,0.0483512319624424,0.0005955944070592523,0.047135476022958755,0.04903250187635422,0.0485832653939724,0,,,,,,156,0.10603095591068268,0.2161526381969452,-0.42306143045425415,0.6509379744529724,0.10792259126901627,0,,,,,,,,,,,,,,,
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-01-31,0,,,,,,32,0.049564070999622345,0.0035584899596869946,0.04406958445906639,0.05739651620388031,0.048262037336826324,0,,,,,,156,-0.7119096517562866,0.3376619219779968,-1.4609334468841553,0.1426599770784378,-0.7541793584823608,0,,,,,,,,,,,,,,,
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-02-01,0,,,,,,17,0.04052849858999252,0.0012312650214880705,0.03899095207452774,0.043058130890131,0.040618427097797394,0,,,,,,156,-0.4390875995159149,0.39968356490135193,-1.8135724067687988,0.3328774869441986,-0.35874781012535095,0,,,,,,,,,,,,,,,
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-02-02,10,7.203294080682099e-05,2.4325969206984155e-05,3.7356723623815924e-05,0.00010162730177398771,7.523573003709316e-05,156,0.041407860815525055,0.001986193470656872,0.03538773953914642,0.04676106944680214,0.04174923896789551,24,9.371817577630281e-05,0.0002678240998648107,-0.0003941501199733466,0.0005691606784239411,8.336065366165712e-05,148,0.21447481215000153,0.6830804944038391,-0.9045701026916504,1.5665466785430908,0.13681061565876007,45954,-0.016042791306972504,0.012455377727746964,-0.11091918498277664,0.09954962134361267,-0.01477833278477192,-0.03222386911511421,0.02835008315742016,-0.1897135078907013,0.15260645747184753,-0.030022181570529938,0.010573276318609715,0.016337832435965538,-0.034934498369693756,0.08308053016662598,0.008657988160848618
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-02-03,0,,,,,,27,0.04283541813492775,0.002214789856225252,0.0403212234377861,0.04617217183113098,0.04153487831354141,0,,,,,,156,0.6795559525489807,0.49852344393730164,-0.5764107704162598,1.7995861768722534,0.7620893716812134,0,,,,,,,,,,,,,,,
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-02-04,134,5.1699164032470435e-05,2.711532033572439e-05,1.714658174023498e-05,0.00018836560775525868,4.353641270427033e-05,152,0.04503590986132622,0.002628190675750375,0.040560927242040634,0.05276228114962578,0.044909022748470306,149,1.0306378499080893e-05,0.00016957703337538987,-0.00044788361992686987,0.00042757976916618645,7.834448297217023e-06,156,-0.5103573799133301,0.3010362982749939,-1.020050287246704,0.7235300540924072,-0.5490045547485352,0,,,,,,,,,,,,,,,
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-02-05,81,5.895084541407414e-05,1.8395730876363814e-05,3.4511936974013224e-05,0.000124837490147911,5.542230428545736e-05,156,0.04338708147406578,0.002822471084073186,0.037235651165246964,0.050822317600250244,0.04378918558359146,128,6.5583503783273045e-06,0.00014709158858750015,-0.0004884815425612032,0.00044533569598570466,-4.9862028390634805e-06,156,-1.021494746208191,0.4221540093421936,-1.8940789699554443,0.3574209213256836,-1.0222036838531494,0,,,,,,,,,,,,,,,
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-02-06,0,,,,,,81,0.04184979945421219,0.003818965284153819,0.03437516465783119,0.04727970063686371,0.04309876263141632,1,6.386354925780324e-06,0.0,6.386354925780324e-06,6.386354925780324e-06,6.386354925780324e-06,156,-0.010398835875093937,0.4439028203487396,-2.5610787868499756,1.1012452840805054,0.008657963015139103,0,,,,,,,,,,,,,,,
4946813,Số 1 đường Giải Phóng - phường Bạch Mai - ĐHBK,21.0052,105.8418,2024-02-07,0,,,,,,7,0.043533481657505035,0.00028437533183023334,0.04328720644116402,0.04386185109615326,0.04328720644116402,0,,,,,,156,0.40876108407974243,0.127841055393219,-0.07479508966207504,0.7108537554740906,0.3914494216442108,45954,-0.011600438505411148,0.010577668435871601,-0.07999996840953827,0.054014574736356735,-0.011439475230872631,-0.17910026013851166,0.041315652430057526,-0.4544202387332916,-0.07568947970867157,-0.17311596870422363,0.013217579573392868,0.007596546318382025,-0.013755740597844124,0.04861665889620781,0.012732604518532753
