location_id,location_name,latitude,longitude,date,no2_valid_pixels,no2_mean,no2_std,no2_min,no2_max,no2_median,co_valid_pixels,co_mean,co_std,co_min,co_max,co_median,so2_valid_pixels,so2_mean,so2_std,so2_min,so2_max,so2_median,aer_ai_340_380_valid_pixels,aer_ai_340_380_mean,aer_ai_340_380_std,aer_ai_340_380_min,aer_ai_340_380_max,aer_ai_340_380_median,s2_valid_pixels,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_median,ndbi_mean,ndbi_std,ndbi_min,ndbi_max,ndbi_median,ndwi_mean,ndwi_std,ndwi_min,ndwi_max,ndwi_median,day_of_week,month,day_of_year
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-17,0,,,,,,73.0,0.05410968139767647,0.0015605103690177202,0.050436072051525116,0.05678453668951988,0.0545637272298336,38.0,-3.32595627696719e-05,9.231837611878291e-05,-0.0003494711418170482,0.00013402321201283485,-2.2747934053768404e-05,156,0.26981568336486816,0.6226243376731873,-1.282941222190857,1.4760130643844604,0.33198684453964233,45954,0.003152047283947468,0.013986908830702305,-0.10951881855726242,0.11950777471065521,0.0021656695753335953,-0.0492299422621727,0.032216839492321014,-0.2092638462781906,0.13584718108177185,-0.05062786117196083,-0.014279520139098167,0.009087370708584785,-0.05857905000448227,0.038673996925354004,-0.014208734966814518,5,2,48
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-18,32,8.073687058640644e-05,1.6716570826247334e-05,4.455664020497352e-05,0.00011245810310356319,8.558730041841045e-05,52.0,0.051265910267829895,0.004406885709613562,0.04475035145878792,0.055945418775081635,0.05340275168418884,73.0,0.0003495334822218865,0.0005397375789470971,-0.0008296313462778926,0.0015728629659861326,0.0003707602445501834,153,0.8464238047599792,0.886858344078064,-0.6853017807006836,2.042928695678711,1.3421968221664429,0,,,,,,,,,,,,,,,,6,2,49
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-19,26,7.527301204390824e-05,2.295554986631032e-05,4.428504325915128e-05,0.00012079851876478642,7.148116856114939e-05,130.0,0.045902758836746216,0.0036886411253362894,0.04014877602458,0.05225469917058945,0.04460201784968376,37.0,-1.347192664979957e-06,0.00016649728058837354,-0.0005911628832109272,0.00025149123393930495,3.7397999221866485e-06,156,1.2484328746795654,0.5338167548179626,-0.2025887817144394,2.2080256938934326,1.3260400295257568,0,,,,,,,,,,,,,,,,0,2,50
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-20,12,6.177159957587719e-05,2.161639349651523e-05,2.810071237036027e-05,9.348454477731138e-05,6.282183312578127e-05,112.0,0.04731214791536331,0.004049570765346289,0.03829307481646538,0.05600953474640846,0.047108277678489685,34.0,1.2778572454408277e-05,0.00011411836021579802,-0.0001969838485820219,0.00026258244179189205,-1.76559406099841e-05,156,0.6229340434074402,0.6392302513122559,-1.3410321474075317,1.7425860166549683,0.8624737858772278,0,,,,,,,,,,,,,,,,1,2,51
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-21,14,0.00010558020585449412,4.062533480464481e-05,4.561820242088288e-05,0.00017241739260498434,0.00010128112626262009,121.0,0.049122340977191925,0.004073719959706068,0.0426163524389267,0.059400252997875214,0.048047345131635666,49.0,-9.725403288030066e-06,0.00011659477604553103,-0.00037235356285236776,0.0002380206569796428,-1.646286909817718e-05,156,-0.15610305964946747,0.5897843241691589,-1.3853179216384888,1.0693562030792236,-0.11227954179048538,0,,,,,,,,,,,,,,,,2,2,52
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-22,0,,,,,,109.0,0.04423610866069794,0.0030788276344537735,0.03834715485572815,0.050987228751182556,0.04512685164809227,1.0,4.376223841973115e-06,0.0,4.376223841973115e-06,4.376223841973115e-06,4.376223841973115e-06,156,0.02291293255984783,0.6018157601356506,-2.5592761039733887,0.7786376476287842,0.21081006526947021,45954,-0.07296652346849442,0.01823578216135502,-0.1860383152961731,0.07808396965265274,-0.0748348981142044,-0.26332375407218933,0.06090879067778587,-0.4799268841743469,-0.029275787994265556,-0.26009613275527954,0.10250669717788696,0.016574814915657043,0.03194888308644295,0.16015787422657013,0.10342437773942947,3,2,53
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-23,0,,,,,,0.0,,,,,,0.0,,,,,,156,-0.14623720943927765,0.1234043687582016,-0.6776250600814819,0.09917381405830383,-0.12296854704618454,0,,,,,,,,,,,,,,,,4,2,54
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-24,0,,,,,,0.0,,,,,,0.0,,,,,,156,0.5772996544837952,0.2180243730545044,-0.03055661916732788,1.054505467414856,0.5661301016807556,0,,,,,,,,,,,,,,,,5,2,55
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-25,0,,,,,,3.0,0.05682390555739403,0.0,0.05682390555739403,0.05682390555739403,0.05682390555739403,0.0,,,,,,156,0.394473135471344,0.21831443905830383,-0.12180904299020767,0.8584687113761902,0.42558157444000244,0,,,,,,,,,,,,,,,,6,2,56
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-26,0,,,,,,6.0,0.05670056864619255,0.002100330777466297,0.0534704253077507,0.05861462280154228,0.0575154572725296,0.0,,,,,,156,0.661972165107727,0.32121047377586365,-0.2773621082305908,1.2542088031768799,0.6675589680671692,0,,,,,,,,,,,,,,,,0,2,57
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-27,0,,,,,,13.0,0.05685076490044594,0.0021636055316776037,0.05220991373062134,0.05911952629685402,0.05746826156973839,0.0,,,,,,156,0.2290583699941635,0.335212767124176,-0.4875296950340271,0.8763006925582886,0.21579624712467194,45954,0.009002575650811195,0.0026806360110640526,-0.007526353467255831,0.021696239709854126,0.008937436155974865,-0.190208300948143,0.009710608050227165,-0.22949101030826569,-0.14833061397075653,-0.19126316905021667,-0.026895254850387573,0.0023930666502565145,-0.03740645945072174,-0.01073069591075182,-0.026919236406683922,1,2,58
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-28,0,,,,,,80.0,0.06216508150100708,0.0017243640031665564,0.05352368205785751,0.06498081982135773,0.06234230473637581,0.0,,,,,,156,0.8221673965454102,0.10615028440952301,0.589958906173706,1.0110735893249512,0.8234116435050964,0,,,,,,,,,,,,,,,,2,2,59
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-29,0,,,,,,23.0,0.06692758947610855,0.001984981121495366,0.06455428898334503,0.06922640651464462,0.06703277677297592,0.0,,,,,,156,1.0835108757019043,0.12106961756944656,0.8481331467628479,1.3997701406478882,1.0653125047683716,0,,,,,,,,,,,,,,,,3,2,60
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-03-01,0,,,,,,0.0,,,,,,0.0,,,,,,156,0.3278988003730774,0.1612570732831955,0.10243009775876999,0.9699099659919739,0.2843552231788635,0,,,,,,,,,,,,,,,,4,3,61
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-03-02,16,3.829540219157934e-05,1.1063112651754636e-05,2.224714626208879e-05,5.6619683164171875e-05,3.944284253520891e-05,55.0,0.06207410246133804,0.002374508185312152,0.05620821565389633,0.06509533524513245,0.06272649765014648,44.0,7.742184970993549e-05,0.0001722901943139732,-0.00023127373424358666,0.0006467834464274347,3.309043313493021e-05,156,-0.3571699559688568,0.4864199161529541,-1.551726222038269,0.5555660128593445,-0.3116716742515564,0,,,,,,,,,,,,,,,,5,3,62
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-03-03,1,7.681117858737707e-05,0.0,7.681117858737707e-05,7.681117858737707e-05,7.681117858737707e-05,19.0,0.058696214109659195,0.0033258935436606407,0.05453871563076973,0.06569158285856247,0.05724877119064331,9.0,-3.39237303705886e-05,6.174084410304204e-05,-0.00013184125418774784,5.7141922297887504e-05,-4.8063720896607265e-05,156,0.9585786461830139,0.6784180998802185,-1.0507808923721313,2.2235097885131836,1.1101551055908203,45954,0.05736212432384491,0.03430240601301193,-0.15013962984085083,0.2833099365234375,0.05381818860769272,0.021634280681610107,0.050292007625103,-0.27777713537216187,0.2872137427330017,0.031035825610160828,-0.08274977654218674,0.032709524035453796,-0.2619434595108032,0.060859668999910355,-0.08167807757854462,6,3,63
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-03-04,1,5.560144199989736e-05,0.0,5.560144199989736e-05,5.560144199989736e-05,5.560144199989736e-05,147.0,0.056749310344457626,0.001567256054840982,0.053263261914253235,0.0605146624147892,0.056314028799533844,7.0,4.554794213618152e-05,9.280286030843854e-05,-0.00015055364929139614,0.00010868151002796367,9.2328067694325e-05,156,1.7003204822540283,0.5070998668670654,-1.2713894844055176,2.1809558868408203,1.798723578453064,0,,,,,,,,,,,,,,,,0,3,64
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-03-05,141,8.066801819950342e-05,1.5727320715086535e-05,5.183427856536582e-05,0.0001210741393151693,7.956390618346632e-05,135.0,0.05851949006319046,0.002268701558932662,0.053609978407621384,0.06186875328421593,0.058907683938741684,73.0,-8.091997187875677e-07,0.0007129175937734544,-0.0013610819587484002,0.0027258277405053377,-0.0001572127512190491,141,1.0240809917449951,0.16362512111663818,0.7504166960716248,1.353873610496521,1.0134024620056152,0,,,,,,,,,,,,,,,,1,3,65
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-03-06,75,5.086092642159201e-05,9.358649549540132e-06,3.579985423129983e-05,7.963552343426272e-05,5.0904967793030664e-05,100.0,0.06036359816789627,0.003393633523955941,0.05133293569087982,0.06628140062093735,0.06101421266794205,97.0,-2.5214585548383184e-06,0.0002127616899088025,-0.0007202803390100598,0.00035802152706310153,3.926823046640493e-05,156,0.6479589939117432,0.6550834774971008,-0.17680351436138153,2.1838483810424805,0.38596993684768677,0,,,,,,,,,,,,,,,,2,3,66
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-03-07,0,,,,,,15.0,0.06282199174165726,0.0024224359076470137,0.059251103550195694,0.06708811968564987,0.0633082315325737,9.0,2.927377136074938e-05,5.184972542338073e-05,-3.580562770366669e-05,0.00011217778228456154,2.672465234354604e-05,156,1.4866702556610107,0.5828336477279663,-0.012251723557710648,2.4941184520721436,1.5203936100006104,0,,,,,,,,,,,,,,,,3,3,67
