aod_mean,aod_median,aod_max,aod_std,aod_count,aod047_mean,aod047_median,fmf_mean,fmf_median,location_id,date
,,,,0,,,0.05,0.05,2161292,2024-02-06
,,,,0,,,0.05,0.05,2161292,2024-02-07
,,,,0,,,0.05,0.05,2161292,2024-02-08
,,,,0,,,0.05,0.05,2161292,2024-02-09
,,,,0,,,0.05,0.05,2161292,2024-02-10
0.40832643769177457,0.41500000000000004,0.464,0.03898542175978639,97,0.5374595169751558,0.5480000000000002,0.05,0.05,2161292,2024-02-11
0.4712330680105503,0.470125,0.634,0.027032973319299124,102,0.6186526704973622,0.6181710261569416,0.05,0.05,2161292,2024-02-12
0.752,0.752,0.752,0.0,1,0.98,0.98,0.05,0.05,2161292,2024-02-13
,,,,0,,,0.05,0.05,2161292,2024-02-14
,,,,0,,,0.05,0.05,2161292,2024-02-15
,,,,0,,,0.05,0.05,2161292,2024-02-16
,,,,0,,,0.05,0.05,2161292,2024-02-17
,,,,0,,,0.05,0.05,2161292,2024-02-18
,,,,0,,,0.05,0.05,2161292,2024-02-19
,,,,0,,,0.05,0.05,2161292,2024-02-20
,,,,0,,,0.05,0.05,2161292,2024-02-21
,,,,0,,,0.05,0.05,2161292,2024-02-22
,,,,0,,,0.05,0.05,2161292,2024-02-23
,,,,0,,,0.05,0.05,2161292,2024-02-24
,,,,0,,,0.05,0.05,2161292,2024-02-25
,,,,0,,,0.05,0.05,2161292,2024-02-26
,,,,0,,,0.05,0.05,2161292,2024-02-27
,,,,0,,,0.05,0.05,2161292,2024-02-28
,,,,0,,,0.05,0.05,2161292,2024-02-29
,,,,0,,,0.05,0.05,2161292,2024-03-01
,,,,0,,,0.05,0.05,2161292,2024-03-02
,,,,0,,,0.05,0.05,2161292,2024-03-03
,,,,0,,,0.05,0.05,2161292,2024-03-04
0.4700373492840993,0.484,0.595,0.060557203805313396,102,0.617108892238131,0.6353333333333333,0.05,0.05,2161292,2024-03-05
0.8350265486725664,0.842,0.842,0.007999999999990123,2,1.0772831858407081,1.086,0.05,0.05,2161292,2024-03-06
,,,,0,,,0.05,0.05,2161292,2024-03-07
,,,,0,,,0.05,0.05,2161292,2024-03-08
,,,,0,,,0.05,0.05,2161292,2024-03-09
,,,,0,,,0.05,0.05,2161292,2024-03-10
,,,,0,,,0.05,0.05,2161292,2024-03-11
0.9791881606765327,0.9530000000000001,1.036,0.042304698320638004,8,1.2627061310782242,1.229,0.05,0.05,2161292,2024-03-12
,,,,0,,,0.05,0.05,2161292,2024-03-13
,,,,0,,,0.05,0.05,2161292,2024-03-14
,,,,0,,,0.05,0.05,2161292,2024-03-15
,,,,0,,,0.05,0.05,2161292,2024-03-16
,,,,0,,,0.05,0.05,2161292,2024-03-17
,,,,0,,,0.05,0.05,2161292,2024-03-18
