location_id,date,hcho_mean
18,2021-01-05,
2539,2021-01-05,
7441,2021-01-05,
307169,2021-01-05,
1285357,2021-01-05,
2161290,2021-01-05,
2161291,2021-01-05,
2161292,2021-01-05,
2161293,2021-01-05,
2161294,2021-01-05,
2161295,2021-01-05,
2161296,2021-01-05,
2161298,2021-01-05,
2161299,2021-01-05,
2161300,2021-01-05,
2161301,2021-01-05,
2161303,2021-01-05,
2161304,2021-01-05,
2161306,2021-01-05,
2161307,2021-01-05,
2161308,2021-01-05,
2161309,2021-01-05,
2161313,2021-01-05,
2161314,2021-01-05,
2161315,2021-01-05,
2161316,2021-01-05,
2161318,2021-01-05,
2161320,2021-01-05,
2161321,2021-01-05,
2161322,2021-01-05,
4946811,2021-01-05,
4946812,2021-01-05,
4946813,2021-01-05,
6123215,2021-01-05,
18,2021-01-02,0.0003566612915968389
2539,2021-01-02,0.00038686632424370646
7441,2021-01-02,0.0003868759725666643
307169,2021-01-02,0.0003910582750149044
1285357,2021-01-02,0.00035696274939380526
2161290,2021-01-02,0.00044572235390362685
2161291,2021-01-02,0.0003593767063078072
2161292,2021-01-02,0.00038008743384401685
2161293,2021-01-02,0.0004647815202730463
2161294,2021-01-02,0.0003999244329863757
2161295,2021-01-02,0.00037134357644937266
2161296,2021-01-02,0.000404746608070421
2161298,2021-01-02,0.000401870374758308
2161299,2021-01-02,0.0004023921909105795
2161300,2021-01-02,0.00039586012314915027
2161301,2021-01-02,0.00036130824404200467
2161303,2021-01-02,0.0003732325724063478
2161304,2021-01-02,0.00039202412494453116
2161306,2021-01-02,0.00033116762522248993
2161307,2021-01-02,0.0003779093593655221
2161308,2021-01-02,0.00034074785485527643
2161309,2021-01-02,0.00029902991168071646
2161313,2021-01-02,0.0003199759036836112
2161314,2021-01-02,0.00033459951738729266
2161315,2021-01-02,0.00042039595285874894
2161316,2021-01-02,0.0003856118846084711
2161318,2021-01-02,0.0003532845997432572
2161320,2021-01-02,0.0002423250191155717
2161321,2021-01-02,0.00037756768293927565
2161322,2021-01-02,0.0001659539603597522
4946811,2021-01-02,0.0004040954519080486
4946812,2021-01-02,0.00037574273978356636
4946813,2021-01-02,0.00036726530654565917
6123215,2021-01-02,0.0002753687806229234
18,2021-01-09,
2539,2021-01-09,
7441,2021-01-09,
307169,2021-01-09,
1285357,2021-01-09,
2161290,2021-01-09,
2161291,2021-01-09,
2161292,2021-01-09,
2161293,2021-01-09,
2161294,2021-01-09,
2161295,2021-01-09,
2161296,2021-01-09,
2161298,2021-01-09,
2161299,2021-01-09,
2161300,2021-01-09,
2161301,2021-01-09,
2161303,2021-01-09,
2161304,2021-01-09,
2161306,2021-01-09,
2161307,2021-01-09,
2161308,2021-01-09,
2161309,2021-01-09,
2161313,2021-01-09,
2161314,2021-01-09,
2161315,2021-01-09,
2161316,2021-01-09,
2161318,2021-01-09,
2161320,2021-01-09,
2161321,2021-01-09,
2161322,2021-01-09,
4946811,2021-01-09,
4946812,2021-01-09,
4946813,2021-01-09,
6123215,2021-01-09,
18,2021-01-03,5.290018902759591e-05
2539,2021-01-03,0.00013500540394245633
7441,2021-01-03,0.00013447108002869786
307169,2021-01-03,9.51929663781606e-05
1285357,2021-01-03,5.34334413631427e-05
2161290,2021-01-03,0.0001527875287091995
2161291,2021-01-03,0.00010630170345792819
2161292,2021-01-03,0.00016102794952869458
2161293,2021-01-03,0.0001579758695145215
2161294,2021-01-03,5.5836775681613896e-05
2161295,2021-01-03,0.0001721581222275625
2161296,2021-01-03,2.8380421862094912e-05
2161298,2021-01-03,4.688918722546358e-05
2161299,2021-01-03,2.1984902913605175e-05
2161300,2021-01-03,7.718317815273288e-05
2161301,2021-01-03,0.00017053572509630118
2161303,2021-01-03,0.0001721369635969017
2161304,2021-01-03,7.387040549056506e-05
2161306,2021-01-03,0.00012153027533594003
2161307,2021-01-03,0.0001274339204155991
2161308,2021-01-03,6.425664543919045e-05
2161309,2021-01-03,
2161313,2021-01-03,0.00017215812278249248
2161314,2021-01-03,2.938117912636326e-05
2161315,2021-01-03,0.00014915361271990995
2161316,2021-01-03,0.00014581134581361272
2161318,2021-01-03,-3.582729948696554e-05
2161320,2021-01-03,8.021654807676132e-05
2161321,2021-01-03,0.00014886867441921587
2161322,2021-01-03,9.76081126911985e-05
4946811,2021-01-03,-0.00010397402936754982
4946812,2021-01-03,0.0001639326560818281
4946813,2021-01-03,0.0001721575500438842
6123215,2021-01-03,
18,2021-01-10,
2539,2021-01-10,
7441,2021-01-10,
307169,2021-01-10,
1285357,2021-01-10,
2161290,2021-01-10,
2161291,2021-01-10,
2161292,2021-01-10,
2161293,2021-01-10,
2161294,2021-01-10,
2161295,2021-01-10,
2161296,2021-01-10,
2161298,2021-01-10,
2161299,2021-01-10,
2161300,2021-01-10,
2161301,2021-01-10,
2161303,2021-01-10,
2161304,2021-01-10,
2161306,2021-01-10,
2161307,2021-01-10,
2161308,2021-01-10,
2161309,2021-01-10,
2161313,2021-01-10,
2161314,2021-01-10,
2161315,2021-01-10,
2161316,2021-01-10,
2161318,2021-01-10,
2161320,2021-01-10,
2161321,2021-01-10,
2161322,2021-01-10,
4946811,2021-01-10,
4946812,2021-01-10,
4946813,2021-01-10,
6123215,2021-01-10,
18,2021-01-07,
2539,2021-01-07,
7441,2021-01-07,
307169,2021-01-07,
1285357,2021-01-07,
2161290,2021-01-07,
2161291,2021-01-07,
2161292,2021-01-07,
2161293,2021-01-07,
2161294,2021-01-07,
2161295,2021-01-07,
2161296,2021-01-07,
2161298,2021-01-07,
2161299,2021-01-07,
2161300,2021-01-07,
2161301,2021-01-07,
2161303,2021-01-07,
2161304,2021-01-07,
2161306,2021-01-07,
2161307,2021-01-07,
2161308,2021-01-07,
2161309,2021-01-07,
2161313,2021-01-07,
2161314,2021-01-07,
2161315,2021-01-07,
2161316,2021-01-07,
2161318,2021-01-07,
2161320,2021-01-07,
2161321,2021-01-07,
