location_id,date,rh850_mean,rh850_max,rh850_morning,month
2161292,2024-01-01,86.5704739888509,91.81564331054688,85.74437713623047,1
2161292,2024-01-02,81.03451665242513,101.33283996582031,87.02892684936523,1
2161292,2024-01-03,98.76848697662354,100.06462097167969,97.84495544433594,1
2161292,2024-01-04,87.01831595102946,98.43708801269531,90.65402603149414,1
2161292,2024-01-05,74.21253617604573,87.08158874511719,81.19888877868652,1
2161292,2024-01-06,90.05676905314128,98.6281967163086,93.537841796875,1
2161292,2024-01-07,86.58453305562337,94.25804138183594,92.91896057128906,1
2161292,2024-01-08,82.63482570648193,95.63691711425781,92.44193267822266,1
2161292,2024-01-09,88.95783106486003,101.06314086914062,91.41398620605469,1
2161292,2024-01-10,99.60293451944987,101.7298583984375,98.63431930541992,1
2161292,2024-01-11,98.87032413482666,100.73738098144531,99.16681671142578,1
2161292,2024-01-12,95.95018100738525,100.22516632080078,95.67446517944336,1
2161292,2024-01-13,98.3191426595052,102.45832824707031,98.48820686340332,1
2161292,2024-01-14,97.91967709859212,104.4317626953125,96.5499267578125,1
2161292,2024-01-15,89.19546922047932,99.48388671875,93.25803565979004,1
2161292,2024-01-16,91.60977013905843,101.04930877685547,99.49548721313477,1
2161292,2024-01-17,94.69606240590413,102.04875183105469,95.81658935546875,1
2161292,2024-01-18,75.90679359436035,86.90265655517578,80.34061241149902,1
2161292,2024-01-19,73.95545069376628,85.48768615722656,77.70446014404297,1
2161292,2024-01-20,88.28556823730469,100.29849243164062,92.49856758117676,1
2161292,2024-01-21,98.39439455668132,100.80642700195312,98.8876838684082,1
2161292,2024-01-22,97.19989077250163,100.65794372558594,99.2735366821289,1
2161292,2024-01-23,95.48707962036133,98.3271484375,98.14356231689453,1
2161292,2024-01-24,91.08181889851888,95.93124389648438,91.0543212890625,1
2161292,2024-01-25,92.26534207661946,96.64274597167969,90.84201431274414,1
2161292,2024-01-26,97.46170361836751,99.51132202148438,96.81526565551758,1
2161292,2024-01-27,96.33335177103679,100.78294372558594,98.34482955932617,1
2161292,2024-01-28,98.39179547627766,100.92877197265625,99.65220642089844,1
2161292,2024-01-29,86.69861857096355,99.00498962402344,93.48432159423828,1
2161292,2024-01-30,71.50869433085124,83.95773315429688,67.63623046875,1
2161292,2024-01-31,72.28433926900227,78.14143371582031,66.16040802001953,1
2161292,2024-02-01,64.49462445576985,72.16343688964844,53.40240478515625,2
2161292,2024-02-02,63.30566040674845,75.20706176757812,60.312950134277344,2
2161292,2024-02-03,68.78009605407715,82.11204528808594,78.34292221069336,2
2161292,2024-02-04,57.17444864908854,73.95281982421875,46.74247360229492,2
2161292,2024-02-05,52.95765193303426,80.41616821289062,39.553611755371094,2
2161292,2024-02-06,83.93313058217366,96.06961822509766,80.88851928710938,2
2161292,2024-02-07,89.0448185602824,97.453369140625,80.92307662963867,2
2161292,2024-02-08,90.5762996673584,95.90640258789062,88.09009170532227,2
2161292,2024-02-09,85.81235790252686,96.57664489746094,90.77281951904297,2
2161292,2024-02-10,50.38225809733073,64.85665893554688,56.14816665649414,2
2161292,2024-02-11,48.67844581604004,64.59761047363281,43.24032974243164,2
2161292,2024-02-12,66.76266193389893,83.90803527832031,73.71916198730469,2
2161292,2024-02-13,65.17771991093953,88.43426513671875,77.89477252960205,2
2161292,2024-02-14,67.85550308227539,83.38175964355469,77.83312606811523,2
2161292,2024-02-15,91.36273002624512,101.03840637207031,91.58170700073242,2
2161292,2024-02-16,83.35724035898845,98.68865966796875,94.59878349304199,2
2161292,2024-02-17,63.252357165018715,73.78460693359375,65.50806999206543,2
2161292,2024-02-18,54.23851680755615,63.881927490234375,62.03203201293945,2
2161292,2024-02-19,51.33194891611735,67.19715881347656,43.011478424072266,2
2161292,2024-02-20,57.43056027094523,76.11506652832031,66.91014862060547,2
2161292,2024-02-21,62.13492441177368,70.34956359863281,63.874908447265625,2
2161292,2024-02-22,78.13254674275716,100.02229309082031,66.1485595703125,2
2161292,2024-02-23,97.22038141886394,100.11137390136719,97.7176342010498,2
2161292,2024-02-24,95.90790557861328,103.85218811035156,102.77666664123535,2
2161292,2024-02-25,87.61833095550537,95.13360595703125,94.50176620483398,2
2161292,2024-02-26,87.78209845225017,100.13654327392578,86.35659790039062,2
2161292,2024-02-27,88.74748293558757,99.5010986328125,97.02534103393555,2
2161292,2024-02-28,79.74972852071126,89.02987670898438,79.92047882080078,2
2161292,2024-02-29,95.91342608133952,98.60514831542969,96.72109603881836,2
2161292,2024-03-01,95.1879374186198,97.81797790527344,95.90303039550781,3
2161292,2024-03-02,89.11325518290202,96.26156616210938,88.86071395874023,3
2161292,2024-03-03,67.9695725440979,87.15664672851562,73.65533638000488,3
2161292,2024-03-04,46.39024273554484,67.32124328613281,55.80832290649414,3
2161292,2024-03-05,32.342729568481445,43.630821228027344,39.698720932006836,3
2161292,2024-03-06,73.4160966873169,94.24906921386719,65.38638877868652,3
2161292,2024-03-07,95.75803248087566,100.29420471191406,95.72812271118164,3
2161292,2024-03-08,97.87350273132324,100.65757751464844,100.15260887145996,3
2161292,2024-03-09,97.95986461639404,100.37742614746094,99.34332847595215,3
2161292,2024-03-10,90.9229195912679,96.94198608398438,91.46231079101562,3
2161292,2024-03-11,70.76769590377808,99.02381896972656,68.85480308532715,3
2161292,2024-03-12,84.87391916910808,99.11053466796875,98.12283325195312,3
2161292,2024-03-13,90.62110710144043,100.42231750488281,85.27391815185547,3
2161292,2024-03-14,97.69639937082927,99.86749267578125,97.67984390258789,3
2161292,2024-03-15,74.30659898122151,97.42814636230469,78.08227920532227,3
2161292,2024-03-16,69.93359375,76.85585021972656,70.10247421264648,3
2161292,2024-03-17,70.65059502919515,86.927001953125,75.59939193725586,3
2161292,2024-03-18,88.61033693949382,103.02497100830078,81.33000564575195,3
2161292,2024-03-19,99.72658220926921,100.62739562988281,100.10854721069336,3
