location_id,date,t850_mean,t925_mean,t1000_mean,inv_850_1000_mean,inv_850_1000_max,inv_925_1000_mean,inv_850_1000_morning
2161292,2024-01-01,13.290591176350935,17.12363713582359,20.691066996256534,-7.400475819905599,-4.990814208984375,-3.567429860432943,-6.7224273681640625
2161292,2024-01-02,13.972343699137392,16.98105392456057,20.979720052083355,-7.007376352945964,-3.940673828125,-3.9986661275227866,-5.3211212158203125
2161292,2024-01-03,10.638303375244163,12.239366149902366,16.706177012125675,-6.067873636881511,-3.8349609375,-4.466810862223308,-4.660697937011719
2161292,2024-01-04,11.680360412597679,13.367517089843773,17.7844062805176,-6.104045867919922,-3.543212890625,-4.416889190673828,-5.526374816894531
2161292,2024-01-05,13.107498423258486,15.64130808512372,19.486164347330753,-6.378665924072266,-4.596527099609375,-3.8448562622070312,-4.854087829589844
2161292,2024-01-06,11.962354278564476,16.35079218546552,20.106094614664737,-8.14374033610026,-5.321502685546875,-3.7553024291992188,-5.847053527832031
2161292,2024-01-07,12.786113993326845,15.977140045166038,20.045871988932316,-7.259757995605469,-5.028717041015625,-4.068731943766276,-6.258689880371094
2161292,2024-01-08,14.209797159830751,16.95608291625979,21.289651489257835,-7.079854329427083,-4.77587890625,-4.333568572998047,-5.318077087402344
2161292,2024-01-09,14.040785725911482,17.1146064758301,21.127832031250023,-7.087046305338542,-5.07659912109375,-4.013225555419922,-5.559326171875
2161292,2024-01-10,13.021604156494163,14.634291585286482,17.389072672526066,-4.367468516031901,-2.868988037109375,-2.7547810872395835,-5.005226135253906
2161292,2024-01-11,13.0742863972982,14.876051839192732,16.562973276774112,-3.4886868794759116,-2.7274169921875,-1.6869214375813801,-3.0379714965820312
2161292,2024-01-12,12.753625488281273,15.234011586507185,16.64530207316083,-3.891676584879557,-3.540618896484375,-1.4112904866536458,-3.9278488159179688
2161292,2024-01-13,12.5412053426107,14.718197123209658,17.12980422973635,-4.588598887125651,-4.27911376953125,-2.411607106526693,-4.60235595703125
2161292,2024-01-14,12.230312601725283,15.359853363037132,18.701862589518253,-6.471549987792969,-4.851806640625,-3.3420092264811196,-5.868247985839844
2161292,2024-01-15,11.782894388834658,15.863024648030622,20.025130208333355,-8.242235819498697,-6.5797119140625,-4.162105560302734,-7.354377746582031
2161292,2024-01-16,12.002219136556013,15.421726481119814,19.286552683512394,-7.28433354695638,-6.190032958984375,-3.864826202392578,-6.4036865234375
2161292,2024-01-17,12.528025563557966,15.972643788655622,19.83649088541669,-7.308465321858724,-5.90106201171875,-3.863847096761068,-6.8176422119140625
2161292,2024-01-18,14.490715281168642,17.1015932718913,21.016163126627628,-6.525447845458984,-3.818817138671875,-3.914569854736328,-5.6949310302734375
2161292,2024-01-19,15.278188323974632,17.60019709269208,21.73504791259768,-6.456859588623047,-3.9344482421875,-4.134850819905599,-5.231781005859375
2161292,2024-01-20,13.37875645955406,15.469007110595726,18.881642913818382,-5.502886454264323,-2.792266845703125,-3.4126358032226562,-4.612800598144531
2161292,2024-01-21,11.83697408040367,12.172110493977888,13.624187723795595,-1.787213643391927,-0.75518798828125,-1.4520772298177083,-2.2247695922851562
2161292,2024-01-22,5.05902506510419,4.4572820027669495,7.9564682006836165,-2.8974431355794272,-0.0921630859375,-3.4991861979166665,-1.2605438232421875
2161292,2024-01-23,3.4645680745442937,2.5077873229980696,6.397208150227887,-2.9326400756835938,-2.112457275390625,-3.889420827229818,-3.0106277465820312
