location_id,date,blh_mean,blh_min,blh_max,blh_morning
2161292,2024-01-01,449.0618200302124,35.497352600097656,1148.726806640625,122.84393056233723
2161292,2024-01-02,577.7727006276449,175.85150146484375,1226.859130859375,258.2328758239746
2161292,2024-01-03,393.4704182942708,80.26748657226562,836.132080078125,633.757568359375
2161292,2024-01-04,492.4948921203613,153.2390899658203,1029.8310546875,268.3335494995117
2161292,2024-01-05,262.117573261261,36.00206756591797,737.40966796875,197.99096298217773
2161292,2024-01-06,280.77232933044434,52.25654602050781,805.689697265625,145.2099151611328
2161292,2024-01-07,461.6839656829834,88.76161193847656,898.732666015625,210.3176612854004
2161292,2024-01-08,485.74626604715985,160.86328125,1084.11962890625,342.3680114746094
2161292,2024-01-09,481.3480084737142,178.85816955566406,921.302734375,208.52248001098633
2161292,2024-01-10,351.460999806722,167.13526916503906,525.090576171875,368.6198196411133
2161292,2024-01-11,228.5083802541097,138.85421752929688,331.4031066894531,260.8889617919922
2161292,2024-01-12,233.50063196818033,140.57920837402344,326.47674560546875,196.4227066040039
2161292,2024-01-13,158.26332092285156,44.154205322265625,331.8362121582031,190.75830841064453
2161292,2024-01-14,119.4948079586029,15.253355979919434,407.0657958984375,125.4510612487793
2161292,2024-01-15,349.8692798614502,37.73905944824219,862.009033203125,179.09666061401367
2161292,2024-01-16,375.4886080423991,153.4027862548828,713.2465209960938,223.35383987426758
2161292,2024-01-17,408.5234781901042,192.6783447265625,776.735107421875,321.75426483154297
2161292,2024-01-18,464.9027036031087,136.57601928710938,1040.26025390625,262.07398986816406
2161292,2024-01-19,621.3163528442383,168.5535888671875,1315.595458984375,324.8359069824219
2161292,2024-01-20,490.5866463979085,212.9667205810547,988.8203125,486.2453956604004
2161292,2024-01-21,330.76844724019367,247.03933715820312,485.5770263671875,294.934814453125
2161292,2024-01-22,803.2824249267578,542.7974853515625,884.447265625,578.85302734375
2161292,2024-01-23,714.2476399739584,605.662109375,827.417236328125,792.7958374023438
2161292,2024-01-24,633.5265604654948,446.943115234375,843.611083984375,635.943115234375
2161292,2024-01-25,434.10680135091144,113.00614929199219,839.613525390625,534.943603515625
2161292,2024-01-26,414.7924340565999,215.0282440185547,601.051025390625,329.31005859375
2161292,2024-01-27,410.3844871520996,302.7425231933594,532.484130859375,317.58177947998047
2161292,2024-01-28,406.6595681508382,161.51309204101562,702.47802734375,460.69129943847656
2161292,2024-01-29,260.1006859143575,45.378822326660156,682.72021484375,248.8047332763672
2161292,2024-01-30,237.6445377667745,17.075702667236328,739.275390625,165.06781005859375
2161292,2024-01-31,252.29690392812094,31.749969482421875,556.5361328125,112.50752067565918
2161292,2024-02-01,359.64338366190594,22.39019775390625,830.516845703125,107.32066345214844
2161292,2024-02-02,519.1707433064779,222.96875,1024.99267578125,309.48206329345703
2161292,2024-02-03,553.1674474080404,341.92041015625,729.986083984375,365.81993865966797
2161292,2024-02-04,564.709311167399,321.01263427734375,1042.4892578125,409.9814453125
2161292,2024-02-05,416.135747273763,307.21893310546875,542.65673828125,335.8045196533203
2161292,2024-02-06,363.26523272196454,193.8963623046875,489.3092346191406,327.18003845214844
2161292,2024-02-07,335.98700014750165,217.4171905517578,437.826904296875,225.52445220947266
2161292,2024-02-08,522.3463414510092,415.158935546875,652.8348999023438,452.3982467651367
2161292,2024-02-09,446.1973605155945,48.34699249267578,1016.316650390625,711.2761383056641
2161292,2024-02-10,431.31187597910565,54.33472442626953,1118.044189453125,288.77478408813477
2161292,2024-02-11,334.09455100695294,12.18514347076416,1163.308837890625,139.7122402191162
2161292,2024-02-12,476.8115819295247,23.186798095703125,1344.685546875,89.31830787658691
2161292,2024-02-13,515.88898340861,92.72634887695312,1249.911865234375,142.99973106384277
2161292,2024-02-14,512.6093152364095,166.66770935058594,1096.14697265625,319.2260932922363
2161292,2024-02-15,274.0233238538106,26.678844451904297,630.7844848632812,212.91695404052734
2161292,2024-02-16,355.1581808725993,95.09152221679688,796.13671875,358.70919036865234
2161292,2024-02-17,522.0664545694987,128.03504943847656,1066.087890625,236.305908203125
2161292,2024-02-18,414.2333704630534,75.72169494628906,956.248779296875,227.32437896728516
2161292,2024-02-19,469.93373044331867,108.94580078125,950.043212890625,152.8010482788086
2161292,2024-02-20,504.04471651713055,109.67301940917969,990.124755859375,273.4230194091797
2161292,2024-02-21,471.81594403584796,92.9393310546875,1100.412353515625,222.42612838745117
2161292,2024-02-22,540.7506675720215,261.34100341796875,915.298828125,290.607967376709
2161292,2024-02-23,323.29552968343097,247.80918884277344,420.529296875,346.2143859863281
2161292,2024-02-24,314.8016522725423,274.2080078125,376.0548095703125,280.18357849121094
2161292,2024-02-25,273.07012303670246,152.52447509765625,376.2950439453125,293.1159439086914
2161292,2024-02-26,376.3619804382324,196.68165588378906,527.833740234375,218.41798782348633
2161292,2024-02-27,335.25546646118164,124.93536376953125,529.656494140625,417.78553009033203
2161292,2024-02-28,281.7021293640137,103.921630859375,525.7451171875,206.80133056640625
2161292,2024-02-29,528.6026992797852,221.34417724609375,685.71337890625,252.0826644897461
2161292,2024-03-01,588.5999069213867,268.14813232421875,861.7255859375,642.4356384277344
2161292,2024-03-02,398.4658185640971,52.697052001953125,836.779541015625,677.8326110839844
2161292,2024-03-03,418.6473552385966,22.664474487304688,945.641357421875,237.99834823608398
2161292,2024-03-04,271.20887517929077,19.453628540039062,808.11962890625,206.65421676635742
2161292,2024-03-05,233.27009057998657,20.331912994384766,743.420654296875,85.66219234466553
2161292,2024-03-06,441.44532521565753,42.666259765625,1042.413330078125,443.35446548461914
2161292,2024-03-07,352.5175317128499,35.136199951171875,804.348388671875,383.6500701904297
2161292,2024-03-08,377.3248742421468,91.85038757324219,667.0615234375,493.0428466796875
2161292,2024-03-09,354.66102027893066,244.4014434814453,543.2783203125,255.14767456054688
2161292,2024-03-10,365.4975922902425,210.2508544921875,535.44091796875,324.40550994873047
2161292,2024-03-11,425.0096931854884,12.968083381652832,1216.977294921875,590.1936492919922
2161292,2024-03-12,560.5414562225342,53.512542724609375,1277.91552734375,121.37283992767334
2161292,2024-03-13,365.59885279337567,97.30441284179688,675.922607421875,321.4014472961426
2161292,2024-03-14,254.35218556722006,82.47543334960938,453.500244140625,162.6373176574707
2161292,2024-03-15,293.05567868550617,72.20594787597656,564.036865234375,98.93402481079102
2161292,2024-03-16,448.43358675638837,234.5923309326172,671.302001953125,273.4413375854492
2161292,2024-03-17,420.2535807291667,180.4113311767578,656.3203125,318.24918365478516
2161292,2024-03-18,418.3589839935303,173.50259399414062,775.6071166992188,203.08352661132812
2161292,2024-03-19,485.17991638183594,55.275604248046875,984.50439453125,745.2519073486328
2161292,2024-03-20,275.20621446768445,13.685464859008789,917.93310546875,108.47515869140625
2161292,2024-03-21,539.171516418457,85.16688537597656,1291.081298828125,182.60737800598145
2161292,2024-03-22,479.77024332682294,201.8475799560547,1047.187744140625,305.70132064819336
2161292,2024-03-23,461.73717880249023,158.47317504882812,1118.74169921875,321.7910270690918
2161292,2024-03-24,505.95037269592285,143.7489776611328,1161.106689453125,280.82923889160156
2161292,2024-03-25,402.0404459635417,215.20794677734375,913.62548828125,229.74462509155273
2161292,2024-03-26,603.5895188649496,219.92694091796875,1133.09228515625,434.0977478027344
2161292,2024-03-27,600.2696628570557,203.0194549560547,1014.964599609375,676.3309326171875
2161292,2024-03-28,340.6332832972209,41.390403747558594,672.75927734375,330.9901695251465
2161292,2024-03-29,323.356684366862,148.19351196289062,717.90478515625,270.2911376953125
2161292,2024-03-30,389.64699427286786,52.249908447265625,918.895263671875,293.3772735595703
2161292,2024-03-31,386.7971477508545,34.052337646484375,1153.02783203125,198.67374420166016
2161292,2024-04-01,412.8677323659261,61.36944580078125,1453.53857421875,184.76498794555664
2161292,2024-04-02,412.71627680460614,29.806777954101562,1326.98486328125,119.86459350585938
2161292,2024-04-03,380.0579897562663,56.699066162109375,1084.0302734375,155.42656326293945
2161292,2024-04-04,492.55019823710126,155.6406707763672,923.29833984375,253.22195053100586
2161292,2024-04-05,505.09220123291016,365.9691162109375,665.179931640625,426.4602584838867
2161292,2024-04-06,579.5146115620931,383.512451171875,841.843505859375,462.74584197998047
2161292,2024-04-07,467.2393112182617,330.367431640625,636.591796875,393.5006790161133
2161292,2024-04-08,302.11082712809247,54.35740661621094,537.59326171875,419.67735290527344
2161292,2024-04-09,263.86973508199054,118.23309326171875,596.863525390625,209.1673698425293
2161292,2024-04-10,419.7597122192383,142.67074584960938,856.497314453125,289.7677574157715
2161292,2024-04-11,595.9806111653646,283.4932861328125,926.2685546875,414.80039978027344
