location_id,date,hcho_mean,hcho_max,hcho_morning,month
2161292,2024-06-22,,,,6
2161292,2024-06-23,,,,6
2161292,2024-06-24,,,,6
2161292,2024-06-25,,,,6
2161292,2024-06-26,,,,6
2161292,2024-06-27,,,,6
2161292,2024-06-28,,,,6
2161292,2024-06-29,,,,6
2161292,2024-06-30,,,,6
2161292,2024-07-01,,,,7
2161292,2024-07-02,,,,7
2161292,2024-07-03,,,,7
2161292,2024-07-04,,,,7
2161292,2024-07-05,,,,7
2161292,2024-07-06,,,,7
2161292,2024-07-07,,,,7
2161292,2024-07-08,,,,7
2161292,2024-07-09,,,,7
2161292,2024-07-10,,,,7
2161292,2024-07-11,,,,7
2161292,2024-07-12,,,,7
2161292,2024-07-13,,,,7
2161292,2024-07-14,,,,7
2161292,2024-07-15,,,,7
2161292,2024-07-16,,,,7
2161292,2024-07-17,,,,7
2161292,2024-07-18,,,,7
2161292,2024-07-19,,,,7
2161292,2024-07-20,,,,7
2161292,2024-07-21,,,,7
2161292,2024-07-22,,,,7
2161292,2024-07-23,,,,7
2161292,2024-07-24,,,,7
2161292,2024-07-25,,,,7
2161292,2024-07-26,,,,7
2161292,2024-07-27,,,,7
2161292,2024-07-28,,,,7
2161292,2024-07-29,,,,7
2161292,2024-07-30,,,,7
2161292,2024-07-31,,,,7
2161292,2024-08-01,,,,8
2161292,2024-08-02,,,,8
2161292,2024-08-03,,,,8
2161292,2024-08-04,,,,8
2161292,2024-08-05,,,,8
2161292,2024-08-06,,,,8
2161292,2024-08-07,,,,8
2161292,2024-08-08,,,,8
2161292,2024-08-09,,,,8
2161292,2024-08-10,,,,8
2161292,2024-08-11,,,,8
2161292,2024-08-12,,,,8
2161292,2024-08-13,,,,8
2161292,2024-08-14,,,,8
2161292,2024-08-15,,,,8
2161292,2024-08-16,,,,8
2161292,2024-08-17,,,,8
2161292,2024-08-18,,,,8
2161292,2024-08-19,,,,8
2161292,2024-08-20,,,,8
2161292,2024-08-21,,,,8
2161292,2024-08-22,,,,8
2161292,2024-08-23,,,,8
2161292,2024-08-24,,,,8
2161292,2024-08-25,,,,8
2161292,2024-08-26,,,,8
2161292,2024-08-27,,,,8
2161292,2024-08-28,,,,8
2161292,2024-08-29,,,,8
2161292,2024-08-30,,,,8
2161292,2024-08-31,,,,8
2161292,2024-09-01,,,,9
2161292,2024-09-02,,,,9
2161292,2024-09-03,,,,9
2161292,2024-09-04,,,,9
2161292,2024-09-05,,,,9
2161292,2024-09-06,,,,9
2161292,2024-09-07,,,,9
2161292,2024-09-08,,,,9
2161292,2024-09-09,,,,9
2161292,2024-09-10,,,,9
2161292,2024-09-11,,,,9
2161292,2024-09-12,,,,9
2161292,2024-09-13,,,,9
2161292,2024-09-14,,,,9
2161292,2024-09-15,,,,9
2161292,2024-09-16,,,,9
2161292,2024-09-17,,,,9
2161292,2024-09-18,,,,9
2161292,2024-09-19,,,,9
2161292,2024-09-20,,,,9
2161292,2024-09-21,,,,9
2161292,2024-09-22,,,,9
2161292,2024-09-23,,,,9
2161292,2024-09-24,,,,9
2161292,2024-09-25,,,,9
2161292,2024-09-26,8.02,10.1,,9
2161292,2024-09-27,5.679166666666667,8.5,5.0,9
2161292,2024-09-28,4.4750000000000005,7.5,2.675,9
2161292,2024-09-29,5.3875,9.3,3.05,9
2161292,2024-09-30,4.720833333333333,7.8,2.55,9
2161292,2024-10-01,3.6999999999999997,5.6,2.3249999999999997,10
2161292,2024-10-02,3.5500000000000003,5.6,2.3,10
2161292,2024-10-03,6.3125,9.5,7.025,10
2161292,2024-10-04,8.924999999999999,13.7,10.85,10
2161292,2024-10-05,11.083333333333334,16.8,14.975,10
2161292,2024-10-06,9.625,12.3,11.075,10
2161292,2024-10-07,9.133333333333333,13.1,10.425,10
2161292,2024-10-08,7.308333333333334,10.3,8.625,10
2161292,2024-10-09,6.920833333333333,10.5,7.025,10
2161292,2024-10-10,8.4,13.7,8.674999999999999,10
2161292,2024-10-11,9.654166666666667,13.7,12.65,10
2161292,2024-10-12,6.0874999999999995,8.6,5.9,10
2161292,2024-10-13,5.25,6.8,5.6,10
2161292,2024-10-14,5.479166666666667,8.5,5.0,10
