latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
13.23355,107.98154,335.5,0.4,0.6,2026-04-01,0531,N,VIIRS,n,2.0NRT,298.08,3.47,D
13.24801,108.25666,331.82,0.38,0.59,2026-04-01,0531,N,VIIRS,n,2.0NRT,298.94,3.92,D
13.33735,108.71235,344.94,0.35,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.21,7.53,D
13.29959,108.57515,354.16,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,305.3,4.3,D
13.22661,108.26171,332.02,0.38,0.59,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.48,4.25,D
13.27273,108.49457,332.54,0.37,0.58,2026-04-01,0531,N,VIIRS,l,2.0NRT,305.8,2.83,D
13.30987,108.68299,341.3,0.35,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,289.71,9.1,D
13.30927,108.67993,367,0.35,0.57,2026-04-01,0531,N,VIIRS,h,2.0NRT,298.15,12.02,D
13.02648,107.75848,350.93,0.41,0.61,2026-04-01,0531,N,VIIRS,n,2.0NRT,305.98,8.41,D
13.25467,108.43118,339.17,0.37,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,304.07,2.24,D
13.29459,108.57124,336.49,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,304.14,1.98,D
13.29573,108.57726,367,0.36,0.57,2026-04-01,0531,N,VIIRS,h,2.0NRT,305.94,6.11,D
13.2296,108.25825,330.36,0.38,0.59,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.24,3.42,D
13.3093,108.67799,337.34,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,297.94,9,D
13.30991,108.68122,367,0.36,0.57,2026-04-01,0531,N,VIIRS,h,2.0NRT,296.12,9,D
13.25636,108.42779,333.81,0.37,0.58,2026-04-01,0531,N,VIIRS,l,2.0NRT,303.84,3.53,D
13.25706,108.4315,332.25,0.37,0.58,2026-04-01,0531,N,VIIRS,l,2.0NRT,304.66,4.73,D
13.22113,108.41733,348.11,0.37,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.51,7.97,D
13.22177,108.42064,367,0.37,0.58,2026-04-01,0531,N,VIIRS,h,2.0NRT,304.02,7.97,D
13.10377,107.95914,332.17,0.4,0.6,2026-04-01,0531,N,VIIRS,n,2.0NRT,299.33,1.84,D
13.02955,107.7593,334.77,0.41,0.61,2026-04-01,0531,N,VIIRS,l,2.0NRT,305.04,4.46,D
13.02395,107.76032,336.93,0.41,0.61,2026-04-01,0531,N,VIIRS,n,2.0NRT,304.07,2.8,D
13.12005,106.23685,338.79,0.52,0.67,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.34,5.38,D
13.12573,106.23968,333.03,0.52,0.67,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.65,5.27,D
