date,station,lat,lon,granule_count,mcd19a2_aod_047,mcd19a2_aod_055,mcd19a2_aod_uncertainty,mcd19a2_aod_qa,mcd19a2_column_wv
2023-01-09,HCM_3,10.7626,106.6602,1277,,,0.259,1283.0,903.5
2023-01-10,HCM_3,10.7626,106.6602,1288,,,0.323,1283.0,790.0
2023-01-11,HCM_3,10.7626,106.6602,1287,,,0.256,1281.5,2391.0
2023-01-12,HCM_3,10.7626,106.6602,1279,,,0.3145,1282.0,3312.5
2023-01-13,HCM_3,10.7626,106.6602,1327,,,0.268,1281.5,1721.0
2023-01-14,HCM_3,10.7626,106.6602,1271,,,0.3275,1283.0,1952.0
2023-01-15,HCM_3,10.7626,106.6602,1317,,,0.2705,1283.0,660.5
2023-01-16,HCM_3,10.7626,106.6602,1269,,,0.22250000000000003,1283.0,2082.0
2023-01-17,HCM_3,10.7626,106.6602,1297,0.5650000000000001,0.41300000000000003,0.36650000000000005,642.0,3343.0
2023-01-18,HCM_3,10.7626,106.6602,1311,,,0.215,1281.5,602.0
2023-01-19,HCM_3,10.7626,106.6602,1283,0.442,0.321,0.3885,1186.0,3517.5
2023-01-20,HCM_3,10.7626,106.6602,1334,,,0.164,1282.0,259.0
2023-01-21,HCM_3,10.7626,106.6602,1303,0.23,0.166,0.3385,1206.6666666666667,3367.0
2023-01-22,HCM_3,10.7626,106.6602,1378,,,0.275,1283.0,461.0
2023-01-23,HCM_3,10.7626,106.6602,1342,,,0.204,1283.0,1933.0
2023-01-24,HCM_3,10.7626,106.6602,1378,,,0.42550000000000004,1283.0,2587.5
2023-01-25,HCM_3,10.7626,106.6602,1390,,,,1280.0,
2023-01-26,HCM_3,10.7626,106.6602,1359,,,0.4565,1283.0,1204.0
2023-01-27,HCM_3,10.7626,106.6602,1421,,,0.16849999999999998,1283.0,2222.0
2023-01-28,HCM_3,10.7626,106.6602,1346,,,0.3265,1283.0,1881.0
2023-01-29,HCM_3,10.7626,106.6602,1414,,,0.2885,1282.0,1716.5
2023-01-30,HCM_3,10.7626,106.6602,1368,,,0.192,1283.0,1314.0
2023-01-31,HCM_3,10.7626,106.6602,1406,0.219,0.158,0.487,1186.0,3559.0
2023-01-01,HCM_4,10.88,106.8,1307,,,0.28300000000000003,1281.5,2516.0
2023-01-02,HCM_4,10.88,106.8,1283,,,0.1945,1283.0,1297.0
2023-01-03,HCM_4,10.88,106.8,1301,,,0.256,1282.0,1719.5
2023-01-04,HCM_4,10.88,106.8,1265,,,0.1315,1283.0,371.0
2023-01-05,HCM_4,10.88,106.8,1278,,,0.2385,1283.0,558.0
2023-01-06,HCM_4,10.88,106.8,1306,,,0.1255,1283.0,268.5
2023-01-07,HCM_4,10.88,106.8,1278,,,0.2655,1283.0,368.0
