date,station,lat,lon,granule_count,mcd19a2_aod_047,mcd19a2_aod_055,mcd19a2_aod_uncertainty,mcd19a2_aod_qa,mcd19a2_column_wv
2023-01-01,HCM_1,10.7769,106.7009,1307,,,0.28429787234042553,1281.5,2516.1289111389233
2023-01-02,HCM_1,10.7769,106.7009,1283,,,0.17278535669586984,1283.0,1209.0569461827286
2023-01-03,HCM_1,10.7769,106.7009,1301,,,0.2629843554443054,1282.0,1498.1714643304128
2023-01-04,HCM_1,10.7769,106.7009,1265,,,0.10591551939924908,1283.0,338.6001251564456
2023-01-05,HCM_1,10.7769,106.7009,1278,,,0.2597634543178974,1283.0,667.9605757196496
2023-01-06,HCM_1,10.7769,106.7009,1306,,,0.11017146433041304,1283.0,328.3704630788486
2023-01-07,HCM_1,10.7769,106.7009,1278,,,0.22322277847309135,1283.0,407.4286608260325
2023-01-08,HCM_1,10.7769,106.7009,1326,,,0.15054818523153943,1283.0,1028.0694618272842
2023-01-09,HCM_1,10.7769,106.7009,1277,,,0.14998560700876093,1283.0,1029.4055068836044
2023-01-10,HCM_1,10.7769,106.7009,1288,,,0.24015394242803506,1283.0,883.1883604505632
2023-01-11,HCM_1,10.7769,106.7009,1287,,,0.12456195244055068,1281.5,2558.17521902378
2023-01-12,HCM_1,10.7769,106.7009,1279,,,0.3266833541927409,1282.0,3016.2490613266577
2023-01-13,HCM_1,10.7769,106.7009,1327,,,0.14692115143929915,1281.5,1463.6633291614519
2023-01-14,HCM_1,10.7769,106.7009,1271,,,0.22603003754693368,1283.0,1844.677722152691
2023-01-15,HCM_1,10.7769,106.7009,1317,,,0.1542934918648311,1282.9161451814768,1086.3279098873593
2023-01-16,HCM_1,10.7769,106.7009,1269,,,0.1296508135168961,1282.624530663329,2247.451188986233
2023-01-17,HCM_1,10.7769,106.7009,1297,0.6629211514392992,0.4841652065081352,0.26290050062578224,642.0,2677.610137672091
2023-01-18,HCM_1,10.7769,106.7009,1311,,,0.084,1281.5,713.8898623279099
2023-01-19,HCM_1,10.7769,106.7009,1283,0.2366624203821656,0.1703949044585987,0.385964956195244,1240.4055068836046,3683.815394242804
2023-01-20,HCM_1,10.7769,106.7009,1334,,,0.1313153942428035,1281.0,661.7747183979975
2023-01-21,HCM_1,10.7769,106.7009,1303,,,0.2129555694618273,1281.6666666666667,2830.3066332916146
2023-01-22,HCM_1,10.7769,106.7009,1378,,,0.16841802252816024,1283.0,456.48748435544434
2023-01-23,HCM_1,10.7769,106.7009,1342,,,0.1300456821026283,1283.0,2002.0732165206507
2023-01-24,HCM_1,10.7769,106.7009,1378,0.18963689320388352,0.13596310679611653,0.30048498122653317,1220.102002503129,3237.6101376720903
2023-01-25,HCM_1,10.7769,106.7009,1390,,,,1280.0,
2023-01-26,HCM_1,10.7769,106.7009,1359,,,0.3630438047559449,1283.0,1295.011889862328
2023-01-27,HCM_1,10.7769,106.7009,1421,,,0.1219918648310388,1282.9993742177724,2304.944931163955
2023-01-28,HCM_1,10.7769,106.7009,1346,,,0.20520400500625788,1283.0,1651.7296620775971
2023-01-29,HCM_1,10.7769,106.7009,1414,,,0.18823904881101378,1281.9995828118483,1506.5563204005007
