date,location_id,location_name,latitude,longitude,pm25_mean,pm25_std,pm25_min,pm25_max,pm25_hourly_count,co_mean,co_std,no2_mean,no2_std,o3_mean,o3_std,so2_mean,so2_std,pm25_missing_hours,pm25_was_interpolated,day_of_week,day_of_year,month,year,is_weekend,season,split
2024-01-29 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9.214285714285714,1.6616343073698765,6.55,11.54,7,9536.142857142857,1389.6941424370357,7.255714285714285,0.07345228447936873,14.901428571428571,7.512257602459748,0.8971428571428571,1.8644187144676336,0,0,0,29,1,2024,0,winter,train
2024-01-30 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7.241875,3.3002114762607984,3.57,14.95,24,11423.516666666668,2920.228788523056,7.084791666666667,0.14844468422736556,13.732708333333335,7.787734535398634,1.43625,1.5236285707937913,4,0,1,30,1,2024,0,winter,train
2024-01-31 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8.321666666666667,3.0136178844742725,4.59,14.77,24,17233.195833333335,3058.328734069322,6.839166666666666,0.19010104102056216,14.600833333333334,5.4791390284198505,4.9054166666666665,4.3293035680185294,0,0,2,31,1,2024,0,winter,train
2024-02-01 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,13.402804878048782,0.2550715218544666,13.061951219512196,13.743658536585366,6,18988.43170731707,119.32236666358541,6.813536585365854,0.014145290120730089,11.182317073170731,0.11635641873504253,1.4973170731707317,0.8003496410245724,24,0,3,32,2,2024,0,winter,train
2024-02-02 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6.29625,1.2585245045573916,4.75,8.29,8,11274.7375,4840.526432096143,6.4525,0.13614593011072484,12.0225,4.78273307997485,7.72625,6.509908793523915,16,0,4,33,2,2024,0,winter,train
2024-02-03 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9.648333333333333,2.134072788511832,5.95,14.85,24,15473.470833333333,5460.915662786678,6.302916666666667,0.21342912817519327,14.9625,5.39294164303837,5.8675,4.513502688792722,0,0,5,34,2,2024,1,winter,train
2024-02-04 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9.017083333333334,2.3754001569834724,5.66,15.11,24,13744.345833333333,3892.211923827105,6.206666666666667,0.20865337736077494,21.64916666666667,10.191673889340587,8.770833333333334,6.09317645201272,0,0,6,35,2,2024,1,winter,train
2024-02-05 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9.84125,4.216828926533796,6.01,22.88,24,15018.025,4265.663526167792,6.26875,0.1752839311566784,20.215416666666666,10.241123825544976,6.405625,5.333921249581692,1,0,0,36,2,2024,0,winter,train
2024-02-06 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6.194583333333333,1.033840367656971,4.45,8.54,24,15438.341666666667,6075.622703882091,6.37125,0.25243703476657164,16.585,6.118131286167583,6.387083333333333,7.108954230660315,0,0,1,37,2,2024,0,winter,train
2024-02-07 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7.481195652173913,1.5553220343179037,4.63,11.29,23,6820.871739130434,1363.233302087383,6.547826086956522,0.18232119702463875,14.421521739130435,6.036704899085872,0.06097826086956521,0.1746456824685877,7,0,2,38,2,2024,0,winter,train
