hcho_valid_pixels,hcho_mean,hcho_std,hcho_min,hcho_max,hcho_median,location_id,date
0,,,,,,6123215,2024-02-06
0,,,,,,6123215,2024-02-07
0,,,,,,6123215,2024-02-08
0,,,,,,6123215,2024-02-09
150,0.00015619098849128932,0.0001024452067213133,-0.00011511958291521296,0.0004038141923956573,0.00015336649084929377,6123215,2024-02-10
156,0.00018645040108822286,0.00010010918776970357,-0.00011398558126529679,0.0004641761479433626,0.00018621538765728474,6123215,2024-02-11
156,0.00018444593297317624,0.00011005296983057633,-8.836171764414757e-05,0.00042388125439174473,0.00018704035028349608,6123215,2024-02-12
97,0.00010520920477574691,8.048222662182525e-05,-0.00012770410103257746,0.00028299447149038315,9.587849490344524e-05,6123215,2024-02-13
0,,,,,,6123215,2024-02-14
0,,,,,,6123215,2024-02-15
44,0.0001293709356104955,8.672990225022659e-05,-0.0001568465231684968,0.00030585736385546625,0.00012587980017997324,6123215,2024-02-16
12,0.00014116826059762388,6.169234256958589e-05,3.412567821214907e-05,0.00022256234660744667,0.0001400848850607872,6123215,2024-02-17
46,0.0002615859848447144,0.0003138258180115372,-0.00027603813214227557,0.0009661804069764912,0.0002803310926537961,6123215,2024-02-18
6,0.00013674702495336533,5.504039290826768e-05,6.462523015215993e-05,0.00022222053667064756,0.0001384504430461675,6123215,2024-02-19
10,0.00013673360808752477,2.8692706109723076e-05,8.299747423734516e-05,0.00019480433547869325,0.00013729266356676817,6123215,2024-02-20
22,0.00020185852190479636,8.939327381085604e-05,1.3558415048464667e-05,0.0003605010570026934,0.0002111464273184538,6123215,2024-02-21
0,,,,,,6123215,2024-02-22
0,,,,,,6123215,2024-02-23
0,,,,,,6123215,2024-02-24
0,,,,,,6123215,2024-02-25
0,,,,,,6123215,2024-02-26
0,,,,,,6123215,2024-02-27
0,,,,,,6123215,2024-02-28
0,,,,,,6123215,2024-02-29
0,,,,,,6123215,2024-03-01
53,0.00013337713608052582,7.440826448146254e-05,-3.865299902372499e-08,0.0003382386057637632,0.0001371032267343253,6123215,2024-03-02
7,0.00017577703692950308,3.5676424886332825e-05,0.00011611263471422717,0.000218871035031043,0.00017906328139360994,6123215,2024-03-03
0,,,,,,6123215,2024-03-04
147,0.00029136246303096414,0.0001779597223503515,-0.00013085795217193663,0.0007719696732237935,0.0002877236984204501,6123215,2024-03-05
106,0.00026309819077141583,9.331788896815851e-05,8.89464354258962e-05,0.0004944616230204701,0.000259553111391142,6123215,2024-03-06
13,0.00012407322356011719,4.001256820629351e-05,3.903028118656948e-05,0.00017959398974198848,0.0001380107569275424,6123215,2024-03-07
0,,,,,,6123215,2024-03-08
0,,,,,,6123215,2024-03-09
0,,,,,,6123215,2024-03-10
147,0.00023233023239299655,0.00010970683069899678,-5.1479444664437324e-05,0.000663272337988019,0.00022914963483344764,6123215,2024-03-11
0,,,,,,6123215,2024-03-15
0,,,,,,6123215,2024-03-16
0,,,,,,6123215,2024-03-17
0,,,,,,6123215,2024-03-18
0,,,,,,6123215,2024-03-19
0,,,,,,6123215,2024-03-20
140,0.00017231340461876243,0.00012326933210715652,-0.00013368607324082404,0.000545897230040282,0.00016937422333285213,6123215,2024-03-21
0,,,,,,6123215,2024-03-22
0,,,,,,6123215,2024-03-23
0,,,,,,6123215,2024-03-24
132,0.00019252838683314621,6.787414167774841e-05,4.380786049296148e-05,0.00043533515417948365,0.00018762479885481298,6123215,2024-03-25
7,5.588912608800456e-05,3.936605935450643e-05,-4.974578587280121e-06,8.819712820695713e-05,6.829082121839747e-05,6123215,2024-03-26
32,0.00034052570117637515,0.00012167743261670694,4.391171387396753e-05,0.000519412278663367,0.00036420405376702547,6123215,2024-03-27
0,,,,,,6123215,2024-03-28
9,0.00016723276348784566,6.684236723231152e-05,5.9702098951675e-05,0.00026828411500900984,0.0001805171195883304,6123215,2024-03-29
